Date,SKU,daily_sales,rolling_mean_7,forecast_error,ghost_demand,recommended_cut,cost_saving,waste_reduction_value
2022-05-02,J0003-SET-M,1,5.142857142857143,4.142857142857143,1,3.314285714285715,165.71428571428575,66.2857142857143
2022-05-24,J0003-SET-M,3,5.142857142857143,2.1428571428571432,1,1.7142857142857146,85.71428571428574,34.28571428571429
2022-05-25,J0003-SET-M,2,4.714285714285714,2.7142857142857144,1,2.1714285714285717,108.57142857142858,43.42857142857143
2022-05-05,J0003-SET-S,3,5.714285714285714,2.7142857142857144,1,2.1714285714285717,108.57142857142858,43.42857142857143
2022-05-06,J0003-SET-S,5,5.857142857142857,0.8571428571428568,1,0.6857142857142855,34.28571428571428,13.71428571428571
2022-05-10,J0003-SET-S,1,6.142857142857143,5.142857142857143,1,4.114285714285715,205.71428571428575,82.28571428571429
2022-05-11,J0003-SET-S,2,5.571428571428571,3.571428571428571,1,2.857142857142857,142.85714285714286,57.142857142857146
2022-05-12,J0003-SET-S,3,4.714285714285714,1.7142857142857144,1,1.3714285714285717,68.57142857142858,27.428571428571434
2022-05-08,J0003-SET-XXXL,2,5.142857142857143,3.1428571428571432,1,2.5142857142857147,125.71428571428574,50.28571428571429
2022-05-30,J0119-TP-XXXL,2,4.714285714285714,2.7142857142857144,1,2.1714285714285717,108.57142857142858,43.42857142857143
2022-06-19,J0230-SKD-L,1,4.428571428571429,3.428571428571429,1,2.7428571428571433,137.14285714285717,54.85714285714287
2022-04-06,J0230-SKD-M,6,12.666666666666666,6.666666666666666,1,5.333333333333333,266.66666666666663,106.66666666666666
2022-04-08,J0230-SKD-M,8,12.0,4.0,1,3.2,160.0,64.0
2022-04-09,J0230-SKD-M,8,11.714285714285714,3.7142857142857135,1,2.971428571428571,148.57142857142856,59.42857142857142
2022-04-11,J0230-SKD-M,7,10.428571428571429,3.428571428571429,1,2.7428571428571433,137.14285714285717,54.85714285714287
2022-04-12,J0230-SKD-M,2,8.714285714285714,6.7142857142857135,1,5.371428571428571,268.57142857142856,107.42857142857142
2022-04-15,J0230-SKD-M,7,8.142857142857142,1.1428571428571423,1,0.9142857142857139,45.714285714285694,18.285714285714278
2022-04-17,J0230-SKD-M,4,7.142857142857143,3.1428571428571432,1,2.5142857142857147,125.71428571428574,50.28571428571429
2022-04-18,J0230-SKD-M,7,7.142857142857143,0.14285714285714324,1,0.1142857142857146,5.71428571428573,2.285714285714292
2022-04-19,J0230-SKD-M,4,7.428571428571429,3.428571428571429,1,2.7428571428571433,137.14285714285717,54.85714285714287
2022-04-20,J0230-SKD-M,5,6.857142857142857,1.8571428571428568,1,1.4857142857142855,74.28571428571428,29.71428571428571
2022-04-25,J0230-SKD-M,7,7.857142857142857,0.8571428571428568,1,0.6857142857142855,34.28571428571428,13.71428571428571
2022-04-26,J0230-SKD-M,7,8.285714285714286,1.2857142857142865,1,1.0285714285714291,51.42857142857146,20.571428571428584
2022-04-27,J0230-SKD-M,7,8.571428571428571,1.5714285714285712,1,1.2571428571428571,62.857142857142854,25.142857142857142
2022-04-28,J0230-SKD-M,7,8.857142857142858,1.8571428571428577,1,1.4857142857142862,74.2857142857143,29.714285714285722
2022-04-29,J0230-SKD-M,5,8.0,3.0,1,2.4000000000000004,120.00000000000001,48.00000000000001
2022-04-30,J0230-SKD-M,2,7.142857142857143,5.142857142857143,1,4.114285714285715,205.71428571428575,82.28571428571429
2022-04-04,J0230-SKD-S,7,7.2,0.20000000000000018,1,0.16000000000000014,8.000000000000007,3.200000000000003
2022-04-06,J0230-SKD-S,6,8.285714285714286,2.2857142857142865,1,1.8285714285714292,91.42857142857146,36.571428571428584
2022-04-08,J0230-SKD-S,7,9.0,2.0,1,1.6,80.0,32.0
2022-04-11,J0230-SKD-S,4,8.714285714285714,4.7142857142857135,1,3.771428571428571,188.57142857142856,75.42857142857142
2022-04-12,J0230-SKD-S,8,8.857142857142858,0.8571428571428577,1,0.6857142857142862,34.285714285714306,13.714285714285722
2022-04-15,J0230-SKD-S,5,7.714285714285714,2.7142857142857144,1,2.1714285714285717,108.57142857142858,43.42857142857143
2022-04-16,J0230-SKD-S,5,7.0,2.0,1,1.6,80.0,32.0
2022-04-18,J0230-SKD-S,3,6.714285714285714,3.7142857142857144,1,2.9714285714285715,148.57142857142858,59.42857142857143
2022-04-20,J0230-SKD-S,2,6.142857142857143,4.142857142857143,1,3.314285714285715,165.71428571428575,66.2857142857143
2022-05-01,J0230-SKD-S,8,8.714285714285714,0.7142857142857135,1,0.5714285714285708,28.57142857142854,11.428571428571416
2022-05-02,J0230-SKD-S,8,8.857142857142858,0.8571428571428577,1,0.6857142857142862,34.285714285714306,13.714285714285722
2022-05-03,J0230-SKD-S,7,8.857142857142858,1.8571428571428577,1,1.4857142857142862,74.2857142857143,29.714285714285722
2022-05-05,J0230-SKD-S,6,8.714285714285714,2.7142857142857135,1,2.171428571428571,108.57142857142854,43.428571428571416
2022-05-07,J0230-SKD-S,2,7.285714285714286,5.285714285714286,1,4.228571428571429,211.42857142857144,84.57142857142857
2022-05-08,J0230-SKD-S,4,6.714285714285714,2.7142857142857144,1,2.1714285714285717,108.57142857142858,43.42857142857143
2022-05-09,J0230-SKD-S,1,5.714285714285714,4.714285714285714,1,3.771428571428572,188.57142857142858,75.42857142857143
2022-05-10,J0230-SKD-S,2,5.0,3.0,1,2.4000000000000004,120.00000000000001,48.00000000000001
2022-04-04,J0230-SKD-XS,2,5.75,3.75,1,3.0,150.0,60.0
